Age group (years),Capital cities (Males) (%),Rest of Australia (Males) (%),Capital cities (Females) (%),Rest of Australia (Females) (%)
0-4,2.96,2.84,2.81,2.69
5-9,3.13,3.07,2.95,2.89
10-14,3.15,3.3,2.99,3.1
15-19,3.1,3.16,2.91,2.94
20-24,3.63,2.81,3.39,2.58
25-29,4,2.96,3.88,2.9
30-34,3.98,3.09,4.05,3.15
35-39,3.88,3.05,3.92,3.14
40-44,3.5,2.91,3.54,3.03
45-49,3.06,2.87,3.12,2.95
50-54,3.05,3.2,3.16,3.29
55-59,2.68,3.07,2.78,3.18
60-64,2.51,3.31,2.67,3.46
65-69,2.09,3.03,2.33,3.13
70-74,1.77,2.71,2.02,2.76
75-79,1.44,2.15,1.64,2.21
80-84,0.89,1.26,1.07,1.4
85+,0.77,0.99,1.19,1.42
